Entry	Gene Names (primary)	Protein names	Gene Ontology (molecular function)
P42681	TXK	Tyrosine-protein kinase TXK (EC 2.7.10.2) (Protein-tyrosine kinase 4) (Resting lymphocyte kinase)	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]
P42684	ABL2	Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]; ATP binding [GO:0005524]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphotyrosine residue binding [GO:0001784]; protein kinase activity [GO:0004672]; protein tyrosine kinase activity [GO:0004713]
P42685	FRK	Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5)	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]
P43250	GRK6	G protein-coupled receptor kinase 6 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK6)	ATP binding [GO:0005524]; beta-adrenergic receptor kinase activity [GO:0047696]; G protein-coupled receptor kinase activity [GO:0004703]
P43403	ZAP70	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphotyrosine residue binding [GO:0001784]; protein tyrosine kinase activity [GO:0004713]
P43405	SYK	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	ATP binding [GO:0005524]; integrin binding [GO:0005178]; interleukin-15 receptor binding [GO:0016170]; kinase activity [GO:0016301]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphatase binding [GO:0019902]; phospholipase binding [GO:0043274]; phosphotyrosine residue binding [GO:0001784]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; scaffold protein binding [GO:0097110]; SH2 domain binding [GO:0042169]; signaling receptor binding [GO:0005102]; Toll-like receptor binding [GO:0035325]
P45983	MAPK8	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; histone deacetylase regulator activity [GO:0035033]; JUN kinase activity [GO:0004705]; protein phosphatase binding [GO:0019903]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine kinase binding [GO:0120283]
P45984	MAPK9	Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)	ATP binding [GO:0005524]; JUN kinase activity [GO:0004705]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]
P45985	MAP2K4	Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1) (Stress-activated protein kinase kinase 1) (SAPK kinase 1) (SAPKK-1) (SAPKK1) (c-Jun N-terminal kinase kinase 1) (JNKK)	ATP binding [GO:0005524]; JUN kinase kinase activity [GO:0008545]; MAP kinase kinase activity [GO:0004708]; molecular adaptor activity [GO:0060090]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
P46734	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)	ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
P48426	PIP4K2A	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (PIP5KIII) (Phosphatidylinositol 5-Phosphate 4-Kinase) (PI5P4Kalpha) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(4)P-5-kinase B isoform) (PtdIns(4)P-5-kinase C isoform) (PtdIns(5)P-4-kinase isoform 2-alpha)	1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0016308]; 1-phosphatidylinositol-5-phosphate 4-kinase activity [GO:0016309]; ATP binding [GO:0005524]; protein homodimerization activity [GO:0042803]
P48729	CSNK1A1	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P48730	CSNK1D	Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	ATP binding [GO:0005524]; cadherin binding [GO:0045296]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tau-protein kinase activity [GO:0050321]
P48736	PIK3CG	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)	1-phosphatidylinositol-3-kinase activity [GO:0016303]; 1-phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; 1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]; ATP binding [GO:0005524]; ephrin receptor binding [GO:0046875]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P49137	MAPKAPK2	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; mitogen-activated protein kinase binding [GO:0051019]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P49336	CDK8	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35)	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]
P49619	DGKG	Diacylglycerol kinase gamma (DAG kinase gamma) (EC 2.7.1.107) (Diglyceride kinase gamma) (DGK-gamma)	ATP binding [GO:0005524]; ATP-dependent diacylglycerol kinase activity [GO:0004143]; calcium ion binding [GO:0005509]; lipid binding [GO:0008289]; zinc ion binding [GO:0008270]
P49674	CSNK1E	Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]
P49759	CLK1	Dual specificity protein kinase CLK1 (EC 2.7.12.1) (CDC-like kinase 1)	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]
P49760	CLK2	Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]
P49761	CLK3	Dual specificity protein kinase CLK3 (EC 2.7.12.1) (CDC-like kinase 3)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; RNA binding [GO:0003723]
P49840	GSK3A	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	ATP binding [GO:0005524]; protein kinase A catalytic subunit binding [GO:0034236]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; signaling receptor binding [GO:0005102]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]
P49841	GSK3B	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	ATP binding [GO:0005524]; beta-catenin binding [GO:0008013]; dynactin binding [GO:0034452]; kinase activity [GO:0016301]; NF-kappaB binding [GO:0051059]; p53 binding [GO:0002039]; protease binding [GO:0002020]; protein kinase A catalytic subunit binding [GO:0034236]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; scaffold protein binding [GO:0097110]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]; ubiquitin protein ligase binding [GO:0031625]
P49903	SEPHS1	Selenide, water dikinase 1 (EC 2.7.9.3) (Selenium donor protein 1) (Selenophosphate synthase 1)	ATP binding [GO:0005524]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; selenide, water dikinase activity [GO:0004756]
P50053	KHK	Ketohexokinase (EC 2.7.1.3) (Hepatic fructokinase)	ATP binding [GO:0005524]; fructose binding [GO:0070061]; identical protein binding [GO:0042802]; ketohexokinase activity [GO:0004454]; protein homodimerization activity [GO:0042803]
P50613	CDK7	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)	ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; RNA polymerase II CTD heptapeptide repeat S5 kinase activity [GO:0140836]
P50750	CDK9	Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit)	7SK snRNA binding [GO:0097322]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; DNA binding [GO:0003677]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; transcription coactivator binding [GO:0001223]; transcription elongation factor activity [GO:0003711]
P51451	BLK	Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk)	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]
P51570	GALK1	Galactokinase (EC 2.7.1.6) (Galactose kinase)	ATP binding [GO:0005524]; galactokinase activity [GO:0004335]; galactose binding [GO:0005534]
P51617	IRAK1	Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1)	ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P51812	RPS6KA3	Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; ribosomal protein S6 kinase activity [GO:0004711]
P51813	BMX	Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38)	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; zinc ion binding [GO:0008270]
P51817	PRKX	cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (Protein kinase PKX1)	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; protein serine kinase activity [GO:0106310]
P51955	NEK2	Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein phosphatase binding [GO:0019903]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P51956	NEK3	Serine/threonine-protein kinase Nek3 (EC 2.7.11.1) (HSPK 36) (Never in mitosis A-related kinase 3) (NimA-related protein kinase 3)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P51957	NEK4	Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2)	ATP binding [GO:0005524]; manganese ion binding [GO:0030145]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P52333	JAK3	Tyrosine-protein kinase JAK3 (EC 2.7.10.2) (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK)	ATP binding [GO:0005524]; growth hormone receptor binding [GO:0005131]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]
P52429	DGKE	Diacylglycerol kinase epsilon (DAG kinase epsilon) (EC 2.7.1.107) (Diglyceride kinase epsilon) (DGK-epsilon)	ATP binding [GO:0005524]; ATP-dependent diacylglycerol kinase activity [GO:0004143]; kinase activity [GO:0016301]; zinc ion binding [GO:0008270]
P52564	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; MAP kinase kinase activity [GO:0004708]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
